year,month,vtype,make,make
2015,3,02 - Automobile,VOLK,1
2015,4,02 - Automobile,NISSAN,3
2015,6,02 - Automobile,TOYOTA,1
2015,10,02 - Automobile,DODGE,10
2015,10,05 - Light Duty Truck,HOND,2
2015,11,02 - Automobile,FORD,4
2015,11,02 - Automobile,HONDA,1
2015,12,02 - Automobile,HONDA,10
2016,1,02 - Automobile,FORD,8
2016,1,02 - Automobile,HONDA,8
2016,2,02 - Automobile,LEXUS,1
2016,2,02 - Automobile,MERZ,3
2016,2,02 - Automobile,TOYOTA,1
2016,3,01 - Motorcycle,BMW,4
2016,3,01 - Motorcycle,CHRYSLER,2
2016,3,01 - Motorcycle,GMC,6
2016,3,01 - Motorcycle,HOND,3
2016,3,01 - Motorcycle,HONDA,8
2016,3,01 - Motorcycle,KAWASAKI,1
2016,3,01 - Motorcycle,LEXUS,1
2016,3,01 - Motorcycle,TESLA,1
2016,3,01 - Motorcycle,TOYOTA,3
2016,3,01 - Motorcycle,TOYT,1
2016,3,01 - Motorcycle,YAMA,3
2016,3,02 - Automobile,ACUR,52
2016,3,02 - Automobile,ACURA,97
2016,3,02 - Automobile,AUDI,44
2016,3,02 - Automobile,BENTLEY,3
2016,3,02 - Automobile,BMW,163
2016,3,02 - Automobile,BUIC,8
2016,3,02 - Automobile,BUICK,11
2016,3,02 - Automobile,CADI,8
2016,3,02 - Automobile,CADILAC,1
2016,3,02 - Automobile,CADILLAC,23
2016,3,02 - Automobile,CARR,2
2016,3,02 - Automobile,CHEV,186
2016,3,02 - Automobile,CHEVEROLET,6
2016,3,02 - Automobile,CHEVROLET,110
2016,3,02 - Automobile,CHEVU,1
2016,3,02 - Automobile,CHEVY,135
2016,3,02 - Automobile,CHRY,37
2016,3,02 - Automobile,CHRYS,2
2016,3,02 - Automobile,CHRYSLER,31
2016,3,02 - Automobile,CHRYSTLER,11
2016,3,02 - Automobile,CIDI,2
2016,3,02 - Automobile,COOPER,1
2016,3,02 - Automobile,DATS,5
2016,3,02 - Automobile,DODG,31
2016,3,02 - Automobile,DODGE,181
2016,3,02 - Automobile,FIAT,2
2016,3,02 - Automobile,FORD,389
2016,3,02 - Automobile,GEO,3
2016,3,02 - Automobile,GMC,57
2016,3,02 - Automobile,GREEN,1
2016,3,02 - Automobile,HARL,1
2016,3,02 - Automobile,HON,1
2016,3,02 - Automobile,HONA,4
2016,3,02 - Automobile,HONADA,2
2016,3,02 - Automobile,HOND,194
2016,3,02 - Automobile,HONDA,564
2016,3,02 - Automobile,HYUN,82
2016,3,02 - Automobile,HYUNAI,1
2016,3,02 - Automobile,HYUND,4
2016,3,02 - Automobile,HYUNDAI,88
2016,3,02 - Automobile,HYUNDAU,1
2016,3,02 - Automobile,INF,1
2016,3,02 - Automobile,INFI,19
2016,3,02 - Automobile,INFIN,3
2016,3,02 - Automobile,INFININTI,1
2016,3,02 - Automobile,INFINITI,37
2016,3,02 - Automobile,INFINITY,3
2016,3,02 - Automobile,INFINTE,3
2016,3,02 - Automobile,INFINTY,5
2016,3,02 - Automobile,INIFINITI,4
2016,3,02 - Automobile,ISU,1
2016,3,02 - Automobile,ISUZ,4
2016,3,02 - Automobile,ISUZO,1
2016,3,02 - Automobile,ISUZU,7
2016,3,02 - Automobile,JAG,4
2016,3,02 - Automobile,JAGU,8
2016,3,02 - Automobile,JAGUAR,5
2016,3,02 - Automobile,JEEP,70
2016,3,02 - Automobile,KENW,1
2016,3,02 - Automobile,KIA,89
2016,3,02 - Automobile,LAND ROVER,7
2016,3,02 - Automobile,LANDROVER,1
2016,3,02 - Automobile,LEXS,12
2016,3,02 - Automobile,LEXU,13
2016,3,02 - Automobile,LEXUS,70
2016,3,02 - Automobile,LINC,9
2016,3,02 - Automobile,LINCOLN,26
2016,3,02 - Automobile,LNDR,1
2016,3,02 - Automobile,LOTU,1
2016,3,02 - Automobile,MADZ,1
2016,3,02 - Automobile,MASERATTI,3
2016,3,02 - Automobile,MAZD,35
2016,3,02 - Automobile,MAZDA,83
2016,3,02 - Automobile,MBENZ,1
2016,3,02 - Automobile,MERC,19
2016,3,02 - Automobile,MERCEDES,27
2016,3,02 - Automobile,MERCEDES BENZ,1
2016,3,02 - Automobile,MERCEDES-BENZ,1
2016,3,02 - Automobile,MERCEDEZ,8
2016,3,02 - Automobile,MERCURY,5
2016,3,02 - Automobile,MERZ,98
2016,3,02 - Automobile,MINI,9
2016,3,02 - Automobile,MINI COOPER,2
2016,3,02 - Automobile,MIST,1
2016,3,02 - Automobile,MITI,2
2016,3,02 - Automobile,MITS,25
2016,3,02 - Automobile,MITSUBISHI,30
2016,3,02 - Automobile,MITZ,1
2016,3,02 - Automobile,MNNI,1
2016,3,02 - Automobile,NERCEDEZ,2
2016,3,02 - Automobile,NISS,122
2016,3,02 - Automobile,NISSAM,2
2016,3,02 - Automobile,NISSAN,256
2016,3,02 - Automobile,NISSIAN,1
2016,3,02 - Automobile,OLDS,8
2016,3,02 - Automobile,OLDSMOBILE,1
2016,3,02 - Automobile,PLYM,1
2016,3,02 - Automobile,PLYMOUTH,1
2016,3,02 - Automobile,PONT,6
2016,3,02 - Automobile,PONTIAC,6
2016,3,02 - Automobile,PORS,2
2016,3,02 - Automobile,PORSCHE,2
2016,3,02 - Automobile,RANFE ROVER,2
2016,3,02 - Automobile,RANGE ROVER,2
2016,3,02 - Automobile,SAA,3
2016,3,02 - Automobile,SAAB,4
2016,3,02 - Automobile,SAT,2
2016,3,02 - Automobile,SATR,1
2016,3,02 - Automobile,SATU,11
2016,3,02 - Automobile,SATURN,18
2016,3,02 - Automobile,SCIO,2
2016,3,02 - Automobile,SCION,23
2016,3,02 - Automobile,STRN,4
2016,3,02 - Automobile,SUBA,27
2016,3,02 - Automobile,SUBARU,54
2016,3,02 - Automobile,SUBU,2
2016,3,02 - Automobile,SUZU,1
2016,3,02 - Automobile,TESL,1
2016,3,02 - Automobile,TIYT,3
2016,3,02 - Automobile,TOY,8
2016,3,02 - Automobile,TOYO,8
2016,3,02 - Automobile,TOYOA,1
2016,3,02 - Automobile,TOYOT,5
2016,3,02 - Automobile,TOYOTA,647
2016,3,02 - Automobile,TOYOYA,2
2016,3,02 - Automobile,TOYT,376
2016,3,02 - Automobile,VOLK,54
2016,3,02 - Automobile,VOLKS,15
2016,3,02 - Automobile,VOLKS WAGON,3
2016,3,02 - Automobile,VOLKSWAGEN,19
2016,3,02 - Automobile,VOLKSWAGON,16
2016,3,02 - Automobile,VOLKWAGEN,1
2016,3,02 - Automobile,VOLV,13
2016,3,02 - Automobile,VOLVO,18
2016,3,02 - Automobile,VOLVO 4DR,1
2016,3,02 - Automobile,VW,19
2016,3,03 - Station Wagon,AUDI,1
2016,3,03 - Station Wagon,BUICK,4
2016,3,03 - Station Wagon,CHER,1
2016,3,03 - Station Wagon,CHEV,1
2016,3,03 - Station Wagon,CHEVY,1
2016,3,03 - Station Wagon,CHRYSLER,2
2016,3,03 - Station Wagon,DODGE,4
2016,3,03 - Station Wagon,FORD,7
